model_name,top_k,weight_method,n_years,gross_mean_annual_return,gross_cumulative_return,gross_annualized_return,gross_maximum_drawdown,gross_volatility,gross_sharpe_ratio,gross_win_rate,net_mean_annual_return,net_cumulative_return,net_annualized_return,net_maximum_drawdown,net_volatility,net_sharpe_ratio,net_win_rate
decision_tree_entropy,5,equal,11,0.0548894909090909,-0.2930460106252405,-0.0310345623694066,-0.6517943695552428,0.4468995179968791,0.1228228912734567,0.5454545454545454,0.0510914909090909,-0.3256527341833194,-0.0351851846343055,-0.6575197925215333,0.4468995179968791,0.1143243365714431,0.5454545454545454
decision_tree_entropy,5,score,11,0.0551178811827584,-0.2911435708977664,-0.0307978043417141,-0.6517943695552428,0.4467507411302415,0.1233750190169016,0.5454545454545454,0.0513198811827584,-0.3238307685497285,-0.0349484972610824,-0.6575197925215333,0.4467507411302415,0.1148736341274409,0.5454545454545454
decision_tree_entropy,10,equal,11,0.2016126272727272,1.8833408893161117,0.1010542723999521,-0.5051452000000001,0.507187233411071,0.3975112423804287,0.6363636363636364,0.1978146272727272,1.7651781260862087,0.0968737585612944,-0.5089432,0.507187233411071,0.3900228835460457,0.6363636363636364
decision_tree_entropy,10,score,11,0.2011203936294654,1.8312882278566351,0.0992322514933108,-0.5080958173076922,0.5080656190571933,0.3958551535187135,0.6363636363636364,0.1973223936294655,1.7148177797129294,0.0950424907118958,-0.5118938173076921,0.5080656190571933,0.3883797411752295,0.6363636363636364
decision_tree_entropy,20,equal,11,0.2143365181818182,2.7903108484387835,0.1287734936928875,-0.46244855,0.4478596607549162,0.4785796466253081,0.7272727272727273,0.2105385181818181,2.639976023139323,0.1246281673850921,-0.4662465500000001,0.4478596607549162,0.4700993115274829,0.7272727272727273
decision_tree_entropy,20,score,11,0.211003601322983,2.5774277676023902,0.1228574501376327,-0.4739055305036811,0.4518103054559134,0.4670181241440767,0.7272727272727273,0.2072056013229829,2.434326369859242,0.1186980202189136,-0.4777035305036812,0.4518103054559134,0.4586119413852139,0.7272727272727273
decision_tree_entropy,30,equal,11,0.2269873106060606,2.932383324005276,0.1325558360674739,-0.4969806666666667,0.4617695094552769,0.4915597629514875,0.7272727272727273,0.2231893106060606,2.77489423409319,0.1283553432480297,-0.5007786666666667,0.4617695094552769,0.4833348803591304,0.7272727272727273
decision_tree_entropy,30,score,11,0.226248278194463,2.837314524539001,0.1300389157550208,-0.4992768086143708,0.4646826433670923,0.4868877317109738,0.7272727272727273,0.2224502781944629,2.683004411727946,0.1258302947439338,-0.5030748086143709,0.4646826433670925,0.4787144115876316,0.7272727272727273
gradient_boosting,5,equal,11,0.3484279618181818,6.165117232289873,0.1960451457348069,-0.4678195999999999,0.7300321628285522,0.4772775496194268,0.6363636363636364,0.3446299618181818,5.88951127645998,0.19178783152112477,-0.47161759999999997,0.7300321628285521,0.4720750391090893,0.6363636363636364
gradient_boosting,5,score,11,0.3499556010448765,6.236678491053659,0.19712619622444016,-0.46929779959718876,0.7316967815589737,0.47827954128655764,0.6363636363636364,0.3461576010448765,5.958451884046972,0.19286709038049943,-0.4730957995971887,0.7316967815589737,0.4730888665484402,0.6363636363636364
